Hub Genes,Model,Metric,Value
10,LR,Accuracy,93.62
10,KNN,Accuracy,81.56
10,RF,Accuracy,93.62
10,GBoost,Accuracy,93.62
10,AdaBoost,Accuracy,93.62
10,Bagging,Accuracy,92.91
10,ET,Accuracy,92.91
10,XGBoost,Accuracy,93.62
20,LR,Accuracy,83.69
20,KNN,Accuracy,72.34
20,RF,Accuracy,83.98
20,GBoost,Accuracy,83.98
20,AdaBoost,Accuracy,84.4
20,Bagging,Accuracy,82.52
20,ET,Accuracy,87.23
20,XGBoost,Accuracy,88.65
30,LR,Accuracy,95.04
30,KNN,Accuracy,85.11
30,RF,Accuracy,90.78
30,GBoost,Accuracy,84.4
30,AdaBoost,Accuracy,87.23
30,Bagging,Accuracy,85.82
30,ET,Accuracy,91.49
30,XGBoost,Accuracy,87.23
40,LR,Accuracy,95.04
40,KNN,Accuracy,76.6
40,RF,Accuracy,85.82
40,GBoost,Accuracy,89.36
40,AdaBoost,Accuracy,65.96
40,Bagging,Accuracy,70.92
40,ET,Accuracy,90.78
40,XGBoost,Accuracy,78.72
