ML Algorithm,Accuracy,Precision,Recall,F1-Score
LR,96.91,97,97,97
KNN,96.39,96,96,96
RF,83.51,87,84,84
Gardient Boosting,93.81,94,94,94
AdaBoost,79.38,85,79,79
Bagging,93.3,93,93,93
Extra Trees,92.27,93,92,92
CatBoost,,,,
