Hub Genes,Model,Metric,Value
10,LR,Accuracy,79.69
10,KNN,Accuracy,90.62
10,RF,Accuracy,67.19
10,GBoost,Accuracy,67.19
10,AdaBoost,Accuracy,64.06
10,Bagging,Accuracy,60.94
10,ET,Accuracy,84.38
10,XGBoost,Accuracy,64.06
20,LR,Accuracy,91.89
20,KNN,Accuracy,60.14
20,RF,Accuracy,45.57
20,GBoost,Accuracy,46.62
20,AdaBoost,Accuracy,49.32
20,Bagging,Accuracy,41.89
20,ET,Accuracy,61.49
20,XGBoost,Accuracy,45.27
30,LR,Accuracy,69.59
30,KNN,Accuracy,64.86
30,RF,Accuracy,39.19
30,GBoost,Accuracy,41.89
30,AdaBoost,Accuracy,53.38
30,Bagging,Accuracy,34.46
30,ET,Accuracy,58.11
30,XGBoost,Accuracy,43.92
40,LR,Accuracy,66.22
40,KNN,Accuracy,66.22
40,RF,Accuracy,38.51
40,GBoost,Accuracy,42.57
40,AdaBoost,Accuracy,35.81
40,Bagging,Accuracy,33.78
40,ET,Accuracy,39.86
40,XGBoost,Accuracy,41.89
