Gene,log2FC,p-value,adj_p-value
NFIC.1,-1.2926171745663675,0.0037649352995800063,0.026171133527495255
LRP4,1.1838022971303028,0.00517431757226108,0.033348887275976916
PEG3,-3.2802991905335483,2.5281834505495313e-05,0.0009143667368522397
NIT2,1.1816714114932705,0.0003070792909863069,0.004317510297635705
TMPRSS3,2.1459869197716976,2.512959771363724e-06,0.0002948260247314396
NEBL,1.4477870748376658,0.003622837081472721,0.02538389963057098
DIP2C,-1.9912113189826253,0.00014971534606606098,0.0026945225858584867
SEMA3G,-1.0172193310630064,0.001753299066516887,0.01484609851110811
SRPX2,1.9149178017438537,0.0009566381271550236,0.009629305991067583
DLG2,-2.171111167494625,8.797842724622123e-06,0.0005510320693332677
JPH2,-2.0448305546607397,0.00018641380751141447,0.0031293230402676528
NCAM1,-1.4598376896621827,0.0004089156704348429,0.005239976412768819
CD209,-2.099576189677212,0.0013015360627396605,0.0120235514317306
VSNL1,2.907512132183154,1.6278462912668314e-07,0.00010902937886291885
SLIT2,-2.4283875273309583,1.2701399695844621e-05,0.0006672342258130516
IMPDH1,1.3056154664111292,0.00025334138856454965,0.003805166033930412
MPPED2,-2.048320310663727,0.000490923023077566,0.006009307213353106
BZW2,1.269264865186026,0.0006995169170868165,0.007774946450020732
ACSBG1,-1.4533666365799534,2.587060059841948e-05,0.0009184033889123882
PTPRZ1,-1.6030187971030487,2.8101737130113846e-05,0.0009497394731045844
SS18L1,1.1771043487391117,0.007122337643503418,0.04206082951775872
TNFRSF11B,1.7673420997952796,3.4050723908866887e-06,0.00035190626410389145
ABCE1,1.3680082408388212,0.0005202004539528011,0.006270315745762131
SCN2B,-1.478318354778464,4.2493416535983644e-05,0.0011870052518609822
GEM,-1.0169019590945918,0.008592134686621783,0.048541653374017876
TH,1.0573335887989217,0.008015497835105748,0.04607274994059967
CCL21,-2.3203029908642856,0.00016529672313500223,0.0028651234840537114
PRR7,1.9848987118530033,2.4750760374787494e-07,0.00011350123630880642
GALNT6,1.0429774968212189,0.00037956839504353407,0.004972534346482228
LRP8,2.981103911928873,8.070364256875275e-07,0.00019817436322871167
BRCA2,1.2332115959661474,1.2422746327949602e-07,0.00010902937886291885
TLR7,-1.3189074574687794,0.0020408523524261405,0.016653292109171266
AFF3,-1.6989452641712013,2.313613818254279e-09,1.2214724153473465e-05
FGB,1.7947042626131315,0.0005988487279114653,0.006956263716190497
LSM7,1.0510251266851374,0.0015661081386011168,0.01374608132625868
CHST5,-1.2591485885355107,0.0008272233045082293,0.008743394266568961
GREM2,-2.3834956937790173,1.1798442389659408e-06,0.00021856097051300646
FRMD4A,-1.1803386219914906,0.0020455025920168824,0.016678348933672787
SNRPF,1.359269228709135,0.0004787527885019932,0.005912456951804147
CLCA4,-3.5656429675856485,3.1102364507257726e-05,0.0010076279534032488
LEF1,1.6673078159026,0.0007842221144120264,0.008416652590345483
DPYSL3,-2.675237808089969,0.00014936723628298368,0.0026945225858584867
GART,1.6460395383745545,0.0002722816798302794,0.003992215434322678
