Gene,p_value,Log2FC,adjusted_p_value
RFXAP,7.051408916522284e-07,1.0844235682061267,6.605931393755505e-06
LOC390354,1.4379717378759102e-08,0.7713635033598507,2.868701891460359e-07
WDR71,0.002002549121718587,0.5320440759528271,0.0060042130342481915
ZNF428,0.0011154771805623963,-0.7018282647115264,0.003597288235731385
CDC42EP2,0.011693871645526611,-0.7002076132304671,0.02839933921241093
CLK1,5.127066974743005e-06,1.0387908482605326,3.405354903224515e-05
IL10RA,1.2397898558338852e-05,-1.440001902329886,7.203640168103434e-05
LRRC17,0.0005987234418800876,-2.008211750805734,0.0020769477458432942
SLC15A1,0.011616615570931858,-1.9961016526418671,0.02824761589669542
PLXDC1,0.009201777554006241,0.5691717396564062,0.023063183059323745
CDC5L,5.0822769768300495e-05,0.5876823986092088,0.00024194255891415843
EZH2,7.143628947082745e-09,2.7824275198072685,1.6576805916535942e-07
AIP,0.0008088636558170714,-0.33944231422298365,0.002708911736208622
PRRG3,0.0016247517852027934,-1.2321861933266005,0.005003955796604022
NUP160,2.0534632243322053e-08,1.3066712864475374,3.808865231487094e-07
HIST1H2BL,0.005849077776401973,,0.015417768701485429
PLAC8,0.00022807513369118556,-2.235130014840337,0.0008964597388032
SLC30A4,0.00012581321699470054,-1.8301915856986097,0.0005329464208154357
ECH1,0.0006777577817871623,-0.37718607842098706,0.0023205418674299553
PER1,8.30541228573106e-06,-2.189453499143738,5.1293782334815655e-05
CSTF2,6.7165147698536514e-09,1.3412558867246904,1.5750440132603953e-07
SH3D19,0.00017998746797291253,-0.501923483260418,0.0007269828377679416
C16orf69,0.004031786939780137,0.3582601650009174,0.01115922164342889
ECD,1.9273845524517422e-05,0.6465686089442917,0.00010583440324650854
SNCG,2.3399275398156256e-05,-2.656605396299609,0.00012478113592132172
HSD17B6,2.1564339857401894e-05,-3.5055565383005343,0.00011631006938891408
ZSCAN2,0.00031307945329505884,0.8193706276583699,0.0011800904801047198
CLEC10A,9.30408380138259e-06,-1.6760838958954567,5.642476627935249e-05
SLC22A17,1.358478894506302e-08,-2.3772998028022796,2.752191396870119e-07
EFEMP2,1.8348362502869936e-06,-1.7796395583184026,1.4615442504979055e-05
ZWINT,4.056944572655151e-07,2.9506694280483616,4.219374514757706e-06
HIST1H1B,6.33587530101848e-09,,1.5200726760121073e-07
GPRIN1,6.33820433714788e-06,1.4467739491660785,4.0637781796326174e-05
DNAJB14,2.8989228343048314e-06,-0.6354194373941375,2.121032458978179e-05
NUDT10,0.0006565058723279542,,0.0022576230463065157
GZMB,0.013660888590841799,1.277439613887327,0.03259687560495154
APP,0.004686920405397461,0.6628660391654977,0.012740429147572268
PFKFB4,4.757395699424213e-07,1.6315299147819777,4.823494798721515e-06
RECQL5,8.156607803591617e-06,0.9092106111599234,5.0602661041352835e-05
DUS1L,1.177666553301118e-08,1.1768520783785892,2.446194271388764e-07
TAF12,6.0002284041902546e-05,0.4268825339744371,0.0002798172522988367
RAXL1,1.1072796067737108e-07,-1.0261220644831432,1.4824315507946891e-06
HNRPDL,0.0002612438464518135,0.5598451883156805,0.0010070258018569994
DMD,2.052648384279911e-06,-4.337203592574918,1.6019999709021725e-05
PHF14,1.3344152638379987e-08,1.0646656666575325,2.715841120457079e-07
CDK2,1.511340831783411e-07,1.309320819729681,1.8952177284511162e-06
RPL22,0.004190361698039973,0.6127370405584127,0.011531941931437632
RASD2,2.6512241066534644e-06,-2.1216067933923295,1.973794939968139e-05
SEMA3B,1.017221888851447e-07,-0.9534381223766797,1.3835714520098406e-06
EDG1,0.00024461844475251644,-1.0298853585355783,0.0009525391571686546
RBBP4,0.00010804140066361268,0.8809064220207548,0.0004658484805289764
WHSC1,7.98654730659634e-05,1.141727449549875,0.00035792639484754187
SIKE,0.0029978165152612824,1.9766909315264911,0.008582212101504233
TEX10,2.0687275825916457e-11,1.0767029727925923,1.7651020266235796e-09
KCTD9,1.6324068110791087e-06,-0.8641181227470884,1.3269810442278838e-05
PIGO,5.446165642503943e-08,0.7659118403513068,8.366879405353704e-07
ZZZ3,3.7073203006218306e-06,0.6798602074679572,2.591152915847344e-05
TIMM9,0.0004239572036930422,0.4534865593943067,0.0015337682007055525
ZFAND2B,0.0019981681807282733,-0.46870488999436155,0.005992613616503449
