Rank,Name,Score
1,FLNA,39
2,RHOB,31
3,TNS1,24
3,DPYSL3,24
5,ACTN1,23
6,TGFB1I1,22
6,PRNP,22
6,CAVIN1,22
6,RHOQ,22
10,SPARCL1,21
11,ILK,20
11,SNCA,20
13,SLIT2,19
13,TUBB,19
13,PALLD,19
16,CSRP1,18
16,CAV2,18
16,TIMP2,18
19,MEF2C,17
20,ITPR1,16
21,LAMB2,15
21,EHD2,15
23,PPP3CB,14
23,RASL12,14
25,TMEM47,13
26,NFIB,12
26,NCALD,12
26,DPT,12
29,GABARAPL1,11
29,TGFBR3,11
