Gene,p_value,Log2FC,adjusted_p_value
C5orf16,2.7032765289662024e-06,2.6656045128734513,2.0036580861539002e-05
DTNA,1.994470932357788e-05,-2.1626175887778643,0.0001089518423132853
POLD1,8.70704364908088e-09,1.5219411670996843,1.9296409221899126e-07
ACTR5,3.061905085793184e-08,1.474152710300503,5.269612290398448e-07
C9orf19,7.644577362876427e-11,-2.664705518604624,4.522328112481351e-09
FAM89A,6.369521026183522e-08,1.511978850765212,9.436992289591206e-07
GLT8D1,0.00964455744409948,2.288536790420266,0.02402210511692405
RFXAP,7.051408916522284e-07,1.092555301600581,6.605931393755505e-06
CLK1,5.127066974743005e-06,1.0446660714793579,3.405354903224515e-05
IL10RA,1.2397898558338852e-05,-1.4457605560141973,7.203640168103434e-05
LRRC17,0.0005987234418800876,-2.028361054586668,0.0020769477458432942
SLC15A1,0.011616615570931858,-2.0192806888308423,0.02824761589669542
EZH2,7.143628947082745e-09,2.8280167706698442,1.6576805916535942e-07
PRRG3,0.0016247517852027934,-1.415095542317696,0.005003955796604022
NUP160,2.0534632243322053e-08,1.3090836896658455,3.808865231487094e-07
PLAC8,0.00022807513369118556,-2.2361099145364047,0.0008964597388032
SLC30A4,0.00012581321699470054,-1.8546718457421294,0.0005329464208154357
PER1,8.30541228573106e-06,-2.224595847946353,5.1293782334815655e-05
CSTF2,6.7165147698536514e-09,1.3438144900809732,1.5750440132603953e-07
SNCG,2.3399275398156256e-05,-2.7471454521373215,0.00012478113592132172
HSD17B6,2.1564339857401894e-05,-3.543992666404808,0.00011631006938891408
CLEC10A,9.30408380138259e-06,-1.7209387677369952,5.642476627935249e-05
SLC22A17,1.358478894506302e-08,-2.3823872088834337,2.752191396870119e-07
EFEMP2,1.8348362502869936e-06,-1.7814823601136336,1.4615442504979055e-05
ZWINT,4.056944572655151e-07,3.450859921436985,4.219374514757706e-06
GPRIN1,6.33820433714788e-06,1.480133194594556,4.0637781796326174e-05
GZMB,0.013660888590841799,1.2847075020373637,0.03259687560495154
PFKFB4,4.757395699424213e-07,1.6358380866519546,4.823494798721515e-06
DUS1L,1.177666553301118e-08,1.1797246597692101,2.446194271388764e-07
RAXL1,1.1072796067737108e-07,-1.0266662558506603,1.4824315507946891e-06
DMD,2.052648384279911e-06,-4.5974576570293735,1.6019999709021725e-05
PHF14,1.3344152638379987e-08,1.0663437895091583,2.715841120457079e-07
CDK2,1.511340831783411e-07,1.3451298019057596,1.8952177284511162e-06
RASD2,2.6512241066534644e-06,-2.1571380633956307,1.973794939968139e-05
EDG1,0.00024461844475251644,-1.0353398869574608,0.0009525391571686546
WHSC1,7.98654730659634e-05,1.1831303227367638,0.00035792639484754187
SIKE,0.0029978165152612824,2.342080712009199,0.008582212101504233
TEX10,2.0687275825916457e-11,1.0798623249704153,1.7651020266235796e-09
SOX10,2.0208157089723506e-06,-3.1277563669043555,1.5831161751923187e-05
HOP,0.001762400724585259,-1.4363221140348488,0.005374352645375196
MYCN,0.003409807088652289,2.785609072045448,0.009624338382569878
NRSN1,2.760578076776616e-05,-3.678853375827498,0.0001432195136932003
CCL24,0.001308015443693486,4.914066423002417,0.004134066762059595
PDPK1,3.1409473872636786e-05,1.1998099728337115,0.00016014428140440691
CACNB2,3.441390639251756e-05,-3.1447829243106415,0.0001734147940377688
USP2,0.00015356583448636164,-1.069533529009263,0.0006340414055919313
METTL8,0.0038757837185183913,-1.3338587694745971,0.01077988791519709
DHCR7,4.436100789210622e-08,2.251098381700178,7.084986314459931e-07
ZER1,2.2615610742389366e-07,-1.433850072763411,2.6377744937390414e-06
PPIE,1.2033449541637002e-05,-1.3192270172290854,7.01208417734897e-05
ATOH8,2.964600498209348e-06,-2.2744580572858863,2.1605353959354855e-05
CX3CL1,8.262924724090481e-06,-1.1729551661335353,5.108529174266234e-05
POU2F2,8.304589586820755e-09,-1.548123460161059,1.8646661477128708e-07
BCL2L1,3.3718913773559993e-06,1.3061377460537642,2.394431444150624e-05
CD1C,8.898860424343744e-05,-1.411533789365584,0.0003929385343424395
DOK7,0.0004164618475411052,1.5223003029540219,0.0015098528559980189
MPP2,4.138747966125849e-06,-5.2980794564731335,2.8469452676135144e-05
HMGB2,1.5517988826667686e-09,1.73416535750437,4.917872344725656e-08
ADCY9,2.2033243550290118e-14,-1.4183917690395518,1.396529928341817e-11
RGL1,8.31880595761215e-11,-1.6694450680490345,4.878926802020621e-09
C10orf108,4.238024229537799e-05,-1.282375710272908,0.00020738763131597293
MPHOSPH9,2.1870563238457402e-07,1.0070895567305609,2.56300356514495e-06
C12orf48,7.854422674517286e-16,2.306933057228311,1.58402284192265e-12
ATP6V1G2,6.965204528468683e-08,-2.067617019630413,1.0178926038178476e-06
EFNB1,0.00029959863637896074,1.1140668916205634,0.0011347611660288313
HSPA1L,3.781789594639012e-06,-1.0610039173848849,2.635727941170966e-05
FCHO1,1.7669909873643486e-05,1.4663150151557955,9.821831135978629e-05
RGS7BP,3.604953095962429e-05,-1.1243519852617307,0.00018060587055291447
C6orf105,3.8855873240609034e-05,-2.6165427486453883,0.00019257790258482368
CECR5,1.1930808341720738e-09,1.153435972750719,3.992052070176966e-08
C15orf48,0.002464899691421158,-1.3096068285341094,0.00721484823254875
CASK,1.764507198471524e-06,1.6518706980328437,1.4121149960639354e-05
IL1R2,0.000804192100031389,1.9553999738499357,0.0026940799678490386
C8orf15,9.881413840644676e-05,1.5174714106588092,0.00043092055168244837
LOC347273,0.004536742016510057,-1.732952804893273,0.012379223234226213
C1orf58,0.00034768160530306166,1.4761614443167135,0.0012904414810177545
RUNX1,7.28894115540011e-05,2.1178486124182,0.0003310767211126045
ZSCAN18,2.149241816387659e-07,-1.9464019325105415,2.5266974273844106e-06
SCARA3,3.241598661500873e-07,-3.2191980254237853,3.5027581445073244e-06
FAM86B1,4.3876045507349653e-08,1.0658937654043994,7.017636579200034e-07
CASZ1,2.690839983714117e-10,-1.269478863806512,1.2257411539776995e-08
GFPT2,0.0031572049444191087,-1.9781234476615097,0.008996716054848235
C12orf46,0.00027229363589515484,1.994589135819516,0.0010445377863908204
WDR77,7.85369963408048e-07,3.091387276500236,7.241333029195402e-06
TNFSF14.1,0.018564224612148038,-1.793824096687572,0.04244344623270041
TRIM27,3.9623218435000924e-11,1.128916402836274,2.6963235514173636e-09
AHDC1,1.5053366390003876e-06,-1.0910329324603802,1.2391238589827308e-05
KIAA0427,1.9398938925007875e-05,-1.994780144577943,0.00010638963191900486
C6orf59,0.0018073854897603318,-1.4462334490502915,0.005493976391455631
RET,4.21032247739833e-06,-1.8278889746010805,2.886334791057001e-05
TSHZ2,1.0967855936889015e-05,-2.1815446613920937,6.496953701039944e-05
DSP,4.428705297833512e-06,1.1957845352723506,3.007235945122089e-05
KIAA1794,8.188227466000738e-14,2.8332692962862183,3.131855829409661e-11
RFC2,0.0007107849096182375,1.478891524767124,0.002417300695227806
SF3A1,1.0157049538549211e-05,3.373827652482062,6.081619081327279e-05
ROR1,3.202884319710766e-06,-4.243251369664415,2.2957281340375974e-05
TRNT1.1,5.840450270545043e-09,1.0603211768231962,1.4284955766457688e-07
CDC14A,0.0002016875577600003,-1.1655891688589124,0.0008028416977117973
RGS1,1.434444244104978e-05,-1.5212248214491968,8.184596479224494e-05
BRUNOL6,2.070223445335101e-05,-1.155344034675366,0.00011239803453576574
PLAU,6.651784830556361e-05,1.6792741441783807,0.00030542686512223695
SLC39A10,1.0567432082173464e-08,1.9012787420006232,2.2584577390263594e-07
ATP10D,1.5942295475091267e-05,-1.199832715686822,8.985362876509774e-05
METTL7A,2.3205896612260526e-10,-2.8372575103758146,1.0953183200986968e-08
SPOCK2,1.0140081006874929e-09,-1.1967694767457786,3.5203060572224324e-08
GFRA2,5.3175013136014705e-09,-3.731603756695166,1.3209792736946812e-07
TMEM79,0.003336104345130951,1.0685799505381457,0.009443427177795716
LOC201175,0.00034793439182855744,1.4023079809421457,0.0012911636915899495
ALDH4A1,5.436361141895155e-07,1.250518655317384,5.357629301279526e-06
BNC2,6.27248508830376e-07,-3.6341703838826405,5.983958603738838e-06
NMT2,9.058672355926654e-13,-1.0511009945162115,1.703030402914211e-10
PPP2R3A,2.2512822969069983e-10,-1.295359682249753,1.0694314020253715e-08
MYOT,9.694596148235315e-08,-5.318801064902729,1.3324964123448092e-06
TRPC6,5.166648154209631e-05,-2.0393048528175246,0.0002454849489247943
CDKN2C.1,4.0714878531055375e-05,-2.558828181283899,0.00020040356452916185
MGC3020,0.00017030375814976295,1.0388432966145649,0.0006938509771890434
C16orf59,1.0288670669904372e-10,4.736211519175907,5.682594087576016e-09
DNAJC10,7.502337679966784e-07,1.3803780823446585,6.970738464411497e-06
DUSP5,9.525554690553753e-06,-1.2549318756947923,5.761038856467951e-05
SNRPN,6.535958101181494e-07,-1.5723608294573177,6.201612254773749e-06
RUVBL1,1.389538933570987e-11,1.7556351874992169,1.2790677054912353e-09
WDR4,1.89207142878123e-09,1.7873945429671618,5.7500197990751594e-08
ZYG11B,8.721682124829618e-10,-1.1644926597618568,3.125715609971248e-08
VPS13D,2.0429049852471074e-10,-1.2327257249510897,9.895153753869396e-09
TRIM6.1,4.4596185174653414e-05,-1.4890687453088578,0.00021629247309018612
PSD3,0.001494826777903493,1.120987857749229,0.004649640667556238
GIMAP6,5.7581435423195644e-05,-1.310115057347975,0.00026966150800679167
ABLIM3,0.00018525048880513816,-1.7544089614845877,0.0007450320601256681
LMO6,0.00022601686496043135,1.9736852575966823,0.0008894727926702517
OR51B5,3.627824676620176e-08,1.5937356972127157,6.005944972100148e-07
ANK3.1,2.8192220059029905e-05,-1.9033897218160796,0.00014592072090282768
FILIP1,3.5812075756819114e-05,-4.185468187502033,0.00017965967629789126
TLX2,2.5148422466633447e-05,-1.7260190899478296,0.00013239027147598397
MEOX1,0.00019617758117747774,-2.137369834557947,0.0007837211346733596
KIAA0495,1.6878526493029565e-09,-2.6519866103359417,5.244162909262855e-08
C1QA,8.099830852361034e-06,-1.7437551139460226,5.034649695398632e-05
CCL20,4.442652852560766e-06,2.80230212675756,3.015783686695472e-05
EREG,0.0005579073716883894,3.5513738215358335,0.001948459876186277
TMC8,0.005320781190072829,2.994320994648957,0.014229794090680885
PODXL2,2.8853913959929402e-05,2.4364541304010006,0.00014882474477727827
CBX7,6.38966069601375e-07,-2.5018441849607402,6.07839763637946e-06
LEPREL1,2.85625027596245e-10,-2.360252641307687,1.2878669943485973e-08
LOC57228,1.4587781113024816e-06,2.0804004625319577,1.206169721249879e-05
MT1M,8.312768181359249e-08,-5.405305143360474,1.1768375835052558e-06
SRPK2,1.1763914988976948e-06,-1.532839533513883,1.0158454266853429e-05
SEC23B,5.150148991532866e-09,1.3370718350208683,1.2909706805442384e-07
KIAA0152,2.6273910046893016e-11,1.1233893961869281,2.0833197913942074e-09
MRGPRF,4.48179636742621e-08,-4.675407755694604,7.142540992455678e-07
TSEN54,5.803776313868352e-07,1.2084928091134302,5.637082913610136e-06
RPS6KA5,1.6932917507438275e-07,-1.1157561017204394,2.0765054836097884e-06
CCDC34,7.557497076672419e-07,1.55196461409259,7.011941244203301e-06
TSPYL2,3.7433337768880056e-06,-1.6495507371142892,2.6113873115246388e-05
VAV3,0.014580489075476204,1.0778842383874103,0.034450268361951655
CCDC69,8.113420387511926e-07,-3.8421824669232034,7.437525532089445e-06
TMEM137,1.928731384182295e-05,-1.3534713516459398,0.00010588215052388031
MGLL,2.9531499372508315e-07,-1.288793963846274,3.2560973264399822e-06
LDHD,8.645371784397629e-05,-2.8335572438368546,0.00038334784662218065
TRIM29,2.650507941690957e-05,3.348946956463776,0.0001383141904671678
STMN1.1,2.1110117075444528e-11,1.7586236035272922,1.7874306763422191e-09
CFH,1.9901716267181203e-06,-1.9130288252411969,1.5633841135663875e-05
PPM1M,6.715195800879495e-08,-1.3519915186866616,9.872094343718404e-07
IQCB1,5.7618976883289e-06,1.4218350957912946,3.750643729984986e-05
C1orf151,0.00037327658560229395,-1.013597420335719,0.0013741732119152488
AHCY,6.2402810436789895e-09,2.474914199610687,1.5047691895041287e-07
SIRT4,0.00011131921465510112,-1.4448965062776749,0.00047803047965713574
