Gene,p_value
RREB1,0.006666165752805855
CA1,8.572618707275873e-06
MTHFD2L,0.01019257234055512
RAC1,1.3009417743495743e-07
TUBA3E,4.659404921839868e-05
SPG21,0.0490914529064656
NOMO2,4.816563123072664e-05
RIOK1,7.845749817770648e-06
APEX2,1.672455568612505e-07
MTMR9,1.277870588476471e-07
DKFZp434K191,0.00017442439626619464
C5orf16,2.7032765289662024e-06
DTNA,1.994470932357788e-05
POLD1,8.70704364908088e-09
ACTR5,3.061905085793184e-08
C9orf19,7.644577362876427e-11
SURF6,3.743285837172423e-05
INPP4A,0.026163885328184623
KIAA1683,4.474290060474462e-09
GRB10,0.035159501004150995
FAM89A,6.369521026183522e-08
FLJ20972,0.02509159006609751
C10orf111,0.00023885732367104882
THEX1,0.017538489420729584
C14orf2,0.015955552674048995
GLT8D1,0.00964455744409948
RFXAP,7.051408916522284e-07
LOC390354,1.4379717378759102e-08
WDR71,0.002002549121718587
ZNF428,0.0011154771805623963
CDC42EP2,0.011693871645526611
CLK1,5.127066974743005e-06
LOC400451,0.02317893971522103
IL10RA,1.2397898558338852e-05
LRRC17,0.0005987234418800876
SLC15A1,0.011616615570931858
PLXDC1,0.009201777554006241
CDC5L,5.0822769768300495e-05
EZH2,7.143628947082745e-09
AIP,0.0008088636558170714
PRRG3,0.0016247517852027934
NUP160,2.0534632243322053e-08
HIST1H2BL,0.005849077776401973
RGS12,0.02466121701990949
PLAC8,0.00022807513369118556
SLC30A4,0.00012581321699470054
ECH1,0.0006777577817871623
PER1,8.30541228573106e-06
CSTF2,6.7165147698536514e-09
SH3D19,0.00017998746797291253
C16orf69,0.004031786939780137
ECD,1.9273845524517422e-05
SNCG,2.3399275398156256e-05
HSD17B6,2.1564339857401894e-05
ZSCAN2,0.00031307945329505884
CLEC10A,9.30408380138259e-06
SLC22A17,1.358478894506302e-08
EFEMP2,1.8348362502869936e-06
ZWINT,4.056944572655151e-07
HIST1H1B,6.33587530101848e-09
GPRIN1,6.33820433714788e-06
DNAJB14,2.8989228343048314e-06
NUDT10,0.0006565058723279542
GZMB,0.013660888590841799
APP,0.004686920405397461
PFKFB4,4.757395699424213e-07
RECQL5,8.156607803591617e-06
DUS1L,1.177666553301118e-08
TAF12,6.0002284041902546e-05
RAXL1,1.1072796067737108e-07
HNRPDL,0.0002612438464518135
DMD,2.052648384279911e-06
PHF14,1.3344152638379987e-08
CDK2,1.511340831783411e-07
RPL22,0.004190361698039973
RASD2,2.6512241066534644e-06
HES4,0.03391807360587066
